sample_id,local_time,utc_time,jd_ut,ayanamsa,ayanamsa_deg,planet,tropical_lon_deg,sidereal_lon_deg,speed_deg_day,baseline_status
case_8_event_start,2025-03-07T19:30:00+05:30,2025-03-07T14:00:00+00:00,2460742.083333333,Raman,22.762550303,SUN,347.247628558,324.485078254,1.000523253,self_consistency_generated_pending_external_reference
case_8_event_start,2025-03-07T19:30:00+05:30,2025-03-07T14:00:00+00:00,2460742.083333333,Raman,22.762550303,MOON,88.600836182,65.838285879,13.55723398,self_consistency_generated_pending_external_reference
case_8_event_start,2025-03-07T19:30:00+05:30,2025-03-07T14:00:00+00:00,2460742.083333333,Raman,22.762550303,MARS,107.79622761,85.033677307,0.131792038,self_consistency_generated_pending_external_reference
case_8_event_start,2025-03-07T19:30:00+05:30,2025-03-07T14:00:00+00:00,2460742.083333333,Raman,22.762550303,MERCURY,5.389797985,342.627247682,1.058736386,self_consistency_generated_pending_external_reference
case_8_event_start,2025-03-07T19:30:00+05:30,2025-03-07T14:00:00+00:00,2460742.083333333,Raman,22.762550303,JUPITER,72.856816824,50.094266521,0.097776498,self_consistency_generated_pending_external_reference
case_8_event_start,2025-03-07T19:30:00+05:30,2025-03-07T14:00:00+00:00,2460742.083333333,Raman,22.762550303,VENUS,10.193534219,347.430983915,-0.232007795,self_consistency_generated_pending_external_reference
case_8_event_start,2025-03-07T19:30:00+05:30,2025-03-07T14:00:00+00:00,2460742.083333333,Raman,22.762550303,SATURN,351.497643336,328.735093033,0.12329663,self_consistency_generated_pending_external_reference
case_8_event_start,2025-03-07T19:30:00+05:30,2025-03-07T14:00:00+00:00,2460742.083333333,Raman,22.762550303,RAHU_TRUE_NODE,357.465664498,334.703114194,-0.00773513,self_consistency_generated_pending_external_reference
case_8_event_start,2025-03-07T19:30:00+05:30,2025-03-07T14:00:00+00:00,2460742.083333333,Raman,22.762550303,KETU_DERIVED,nan,154.703114194,nan,derived_from_true_node_plus_180_pending_external_reference
case_43_event_start,2025-04-04T02:30:00+05:30,2025-04-03T21:00:00+00:00,2460769.375,Raman,22.763594181,SUN,14.350889707,351.587295526,0.985618979,self_consistency_generated_pending_external_reference
case_43_event_start,2025-04-04T02:30:00+05:30,2025-04-03T21:00:00+00:00,2460769.375,Raman,22.763594181,MOON,88.940373897,66.176779716,13.886241861,self_consistency_generated_pending_external_reference
case_43_event_start,2025-04-04T02:30:00+05:30,2025-04-03T21:00:00+00:00,2460769.375,Raman,22.763594181,MARS,114.565222459,91.801628278,0.343855883,self_consistency_generated_pending_external_reference
