case_id,same_aspect_group_key,same_aspect_group_size,group_script_direction_mode,group_fx_doctrine_directions,group_ml_outcomes,group_avg_return_pct,review_status,manual_direction_label,manual_behavior_label,manual_trade_action,manual_confidence,manual_reason_tags,manual_notes,probable_factor_tags,probable_factor_note,script_observed_return_bias,pair_nature_summary,aspect_family,window_start_ist,window_end_ist,csv_occurrence_count,csv_m30_count,csv_hourly_count,csv_daily_count,ml_outcome_counts,close_action_counts,avg_signed_return_pct,shadbala_avg,shadbala_tag,event_bphs_virupa,aspect_regime_active_count,fx_doctrine_hypothesis_direction,fx_doctrine_pair_net_score,fx_doctrine_pair_conflict_ratio,fx_doctrine_dominant_base_dignity,fx_doctrine_dominant_quote_dignity,quote_dignity_label_counts,base_dignity_label_counts,quote_enemy_component_count,base_enemy_component_count,quote_debilitation_component_count,base_debilitation_component_count,touch_planets,touch_identity_1_text,touch_identity_2_text,source_event_id
3,MOON|SUN :: square,16,BEARISH,BEARISH=7; BULLISH=3; UNKNOWN=4,LOSS=13; WIN=13,0.04999999999999999,,,,,,,,not_in_current_candidate_csv; high_recurrence_group; hard_aspect,shadbala_avg=55.33 | regime_active=1,,benefic + malefic,hard,2025-03-03 12:30:00+05:30,2025-03-03 14:30:00+05:30,0,0,0,0,,,,55.333333333333336,Neutral,0.0,1,,,,,,,,0,0,0,0,URANUS,URANUS|mirror|h0.18|n1.4|d360,,1ff34434a3f1aae9c243fb9e802f2bd0883b3ddede3ded159735aed7094148c5
4,MERCURY|MOON :: square,16,BEARISH,BEARISH=6; BULLISH=3; CONFLICT=4,LOSS=15; WIN=10,-0.007692307692307703,,,,,,,,not_in_current_candidate_csv; high_recurrence_group; quote_debilitation; unknown_outer_or_node_dignity; hard_aspect,shadbala_avg=55.33 | quote_dignity=debilitation=1; neutral=1; unknown=2 | regime_active=1,,benefic + benefic,hard,2025-03-04 03:30:00+05:30,2025-03-04 05:30:00+05:30,0,0,0,0,,,,55.333333333333336,Neutral,0.0,1,,,,,,debilitation=1; neutral=1; unknown=2,,0,0,1,0,SATURN,SATURN|direct|h0.18|n1.4|d360,,745ba54f30a1418f4e21b5db9f72ba297565d11882682297566db744a431ec45
5,MOON|SUN :: trine,16,BULLISH,BEARISH=4; BULLISH=5; CONFLICT=2; UNKNOWN=4,LOSS=20; WIN=10,-0.03333333333333335,,,,,,,,not_in_current_candidate_csv; high_recurrence_group; multiple_active_aspects; base_enemy_sign; soft_aspect,shadbala_avg=54.50 | base_dignity=enemy=1; own=1 | regime_active=2,,benefic + malefic,soft,2025-03-05 14:30:00+05:30,2025-03-05 16:30:00+05:30,0,0,0,0,,,,54.5,Neutral,0.0,2,,,,,,,enemy=1; own=1,0,1,0,0,MOON|SATURN,SATURN|direct|h0.18|n1.4|d360,MOON|mirror|h0.18|n1.4|d360,efec29ee3a39ceee1371cc1110c16c0f6cf6154b9a9244e7acc5c44f7d57e234
6,MARS|MOON :: square,16,BEARISH,BEARISH=9; BULLISH=4; CONFLICT=1; UNKNOWN=1,LOSS=18; WIN=11,-0.010549230209257576,,,,,,,,not_in_current_candidate_csv; high_recurrence_group; quote_enemy_sign; base_enemy_sign; unknown_outer_or_node_dignity; hard_aspect,shadbala_avg=54.50 | quote_dignity=enemy=2; exaltation=4; friend=1; unknown=1 | base_dignity=enemy=2; unknown=2 | regime_active=1,,malefic + benefic,hard,2025-03-05 18:30:00+05:30,2025-03-05 21:30:00+05:30,0,0,0,0,,,,54.5,Neutral,0.0,1,,,,,,enemy=2; exaltation=4; friend=1; unknown=1,enemy=2; unknown=2,2,2,0,0,MOON|SATURN,MOON|mirror|h0.18|n1.4|d360,SATURN|direct|h0.18|n1.4|d360,a0d068dab36fb21b2ab6a7b69db9fa7ed05181b13b5e04ef2ad6be9c208332d2
7,JUPITER|MOON :: opposition_orb,7,BULLISH,BULLISH=5; CONFLICT=1,LOSS=2; WIN=10,0.21666666666666665,,,,,,,,not_in_current_candidate_csv; multiple_active_aspects; hard_aspect,shadbala_avg=54.50 | regime_active=3,,benefic + benefic,hard,2025-03-06 04:30:00+05:30,2025-03-06 08:30:00+05:30,0,0,0,0,,,,54.5,Neutral,0.0,3,,,,,,,,0,0,0,0,SATURN,SATURN|direct|h0.18|n1.4|d360,,3554fa598b25788c52ad7afa597eb0a7de42be4d0a204c2a3e89f8d96f634beb
8,MERCURY|MOON :: trine,17,BULLISH,BEARISH=2; BULLISH=8; CONFLICT=2; UNKNOWN=2,LOSS=10; WIN=16,0.0857142857142857,,,,,,,,not_in_current_candidate_csv; high_recurrence_group; multiple_active_aspects; soft_aspect,shadbala_avg=54.50 | regime_active=3,,benefic + benefic,soft,2025-03-06 05:30:00+05:30,2025-03-06 07:30:00+05:30,0,0,0,0,,,,54.5,Neutral,0.0,3,,,,,,,,0,0,0,0,SATURN,SATURN|direct|h0.18|n1.4|d360,,70a3caefa1fa0fcce5a3a12623d7ec7cc989e6a49ff7f7ffde59e5651d12bd89
9,AVG(ALL)|SATURN :: square,4,BEARISH,BEARISH=1; CONFLICT=1,WIN=2,0.3,,,,,,,,not_in_current_candidate_csv; strong_shadbala; quote_enemy_sign; base_enemy_sign; unknown_outer_or_node_dignity; avg_all_composite; swing_duration_1d_to_5d; hard_aspect,shadbala_avg=57.51 | quote_dignity=enemy=2; exaltation=1; friend=3 | base_dignity=enemy=2; unknown=2 | regime_active=1,,mixed_classical + malefic,hard,2025-03-06 02:30:00+05:30,2025-03-07 08:30:00+05:30,0,0,0,0,,,,57.513888888888886,Neutral,0.0,1,,,,,,enemy=2; exaltation=1; friend=3,enemy=2; unknown=2,2,2,0,0,AVG(ALL)|SUN,SUN|direct|h0.18|n1.4|d360,AVG(ALL)|direct|h0.18|n1.3|d360,b1b8b71afd7036d3f6cb49f28c8ed55142909e9c370b9035273736e429302fbd
10,MOON|VENUS :: square,12,BEARISH,BEARISH=8; BULLISH=1; CONFLICT=1,LOSS=12; WIN=7,-1.1102230246251566e-17,,,,,,,,not_in_current_candidate_csv; high_recurrence_group; multiple_active_aspects; strong_shadbala; unknown_outer_or_node_dignity; hard_aspect,shadbala_avg=58.67 | quote_dignity=exaltation=1; friend=1 | base_dignity=exaltation=1; unknown=1 | regime_active=2,,benefic + benefic,hard,2025-03-06 18:30:00+05:30,2025-03-06 20:30:00+05:30,0,0,0,0,,,,58.66666666666666,Neutral,0.0,2,,,,,,exaltation=1; friend=1,exaltation=1; unknown=1,0,0,0,0,PLUTO,PLUTO|direct|h0.18|n1.5|d360,,db36af06c144951f150bef126c50f8e8388fd3e39d7285320e932beae198bf44
11,AVG(ALL)|MOON :: square,18,BEARISH,BEARISH=13; BULLISH=2,LOSS=7; WIN=21,0.16666666666666666,,,,,,,,not_in_current_candidate_csv; high_recurrence_group; quote_enemy_sign; base_enemy_sign; unknown_outer_or_node_dignity; avg_all_composite; hard_aspect,shadbala_avg=56.17 | quote_dignity=enemy=2; exaltation=1; friend=3 | base_dignity=enemy=2; exaltation=1; unknown=1 | regime_active=1,,mixed_classical + benefic,hard,2025-03-07 11:30:00+05:30,2025-03-07 13:30:00+05:30,0,0,0,0,,,,56.16666666666666,Neutral,0.0,1,,,,,,enemy=2; exaltation=1; friend=3,enemy=2; exaltation=1; unknown=1,2,2,0,0,PLUTO,PLUTO|direct|h0.18|n1.5|d360,,b93acf2d531101f5f48cbbd0bf3651cca75b6e163e603c0798643b354767e2ce
12,KETU|MOON :: opposition_orb,8,BEARISH,BEARISH=5; BULLISH=1,LOSS=5; WIN=6,0.04999999999999999,,,,,,,,not_in_current_candidate_csv; multiple_active_aspects; base_enemy_sign; unknown_outer_or_node_dignity; hard_aspect,shadbala_avg=56.17 | quote_dignity=neutral=1; unknown=1 | base_dignity=enemy=1; friend=3; neutral=1; unknown=1 | regime_active=2,,malefic + benefic,hard,2025-03-07 15:30:00+05:30,2025-03-07 19:30:00+05:30,0,0,0,0,,,,56.16666666666666,Neutral,0.0,2,,,,,,neutral=1; unknown=1,enemy=1; friend=3; neutral=1; unknown=1,0,1,0,0,MARS|PLUTO,MARS|mirror|h0.18|n1.5|d360,PLUTO|direct|h0.18|n1.5|d360,f2144287c0dd23ca70822c8739c2a9d895c339a6b3f52fc0b6d4d3abc9a357e3
