sample_id,target,aspector,angle_deg,nature,gross_virupa,raw_signed_virupa,normalized_signed_virupa,source
case_8_event_start,SUN,MOON,258.65,benefic,20.68,20.68,5.170000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,SUN,MARS,239.46,malefic,45.27,-45.27,-11.317500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,SUN,MERCURY,341.86,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,SUN,JUPITER,274.39,benefic,12.81,12.81,3.202500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,SUN,VENUS,337.06,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,SUN,SATURN,355.75,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,MOON,SUN,101.35,malefic,39.33,-39.33,-9.832500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,MOON,MARS,340.80,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,MOON,MERCURY,83.21,benefic,38.21,38.21,9.552500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,MOON,JUPITER,15.74,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,MOON,VENUS,78.41,benefic,33.41,33.41,8.352500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
