sample_id,planet,component,external_value_virupa,source
case_8_event_start,SUN,sthana,174.210000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_8_event_start,MOON,sthana,191.550000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_8_event_start,MARS,sthana,164.740000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_8_event_start,MERCURY,sthana,150.790000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_8_event_start,JUPITER,sthana,232.530000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_8_event_start,VENUS,sthana,191.810000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_8_event_start,SATURN,sthana,253.340000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_8_event_start,SUN,kaala,61.570000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_8_event_start,MOON,kaala,206.810000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_8_event_start,MARS,kaala,111.620000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_8_event_start,MERCURY,kaala,208.950000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
