case_id,same_aspect_group_key,same_aspect_group_size,group_script_direction_mode,group_fx_doctrine_directions,group_ml_outcomes,group_close_actions,group_csv_occurrence_total,group_m30_total,group_hourly_total,group_daily_total,group_avg_shadbala,group_avg_fx_doctrine_net,group_avg_fx_doctrine_conflict,group_avg_return_pct,review_status,manual_direction_label,manual_behavior_label,manual_trade_action,manual_confidence,manual_reason_tags,manual_notes,reviewed_by,reviewed_at_ist,manual_column_hints,probable_factor_tags,probable_factor_note,script_observed_return_bias,pair_key,b1,b1_natural_class,b1_natural_bias,b2,b2_natural_class,b2_natural_bias,pair_nature_summary,aspect,aspect_label,aspect_family,window_start_ist,window_end_ist,case_timeframe_bucket,csv_occurrence_count,csv_m30_count,csv_hourly_count,csv_daily_count,csv_timeframes_present,potential_trade_count,ignored_trade_count,ml_win_count,ml_loss_count,ml_ignore_count,ml_win_rate,ml_outcome_counts,close_action_counts,signal_direction_counts,trade_category_counts,ignore_reason_counts,avg_signed_return_pct,avg_mfe_pct,avg_mae_pct,event_duration_minutes,duration_bucket,event_orb_deg,event_orb_limit_deg,event_orb_strength,event_bphs_strength,event_bphs_virupa,shadbala_tag,shadbala_avg,moon_nakshatra,aspect_regime_active_count,aspect_regime_signature,touch_kind,touch_planets,touch_identity_count,touch_identity_1_text,touch_identity_2_text,jyotish_hypothesis_direction,jyotish_net_score,jyotish_conflict_score,doctrine_hypothesis_direction,doctrine_net_score,doctrine_conflict_score,doctrine_dignity_virupa_avg,doctrine_dominant_dignity,fx_hypothesis_direction,fx_pair_net_score,fx_pair_conflict_ratio,fx_doctrine_hypothesis_direction,fx_doctrine_pair_net_score,fx_doctrine_pair_conflict_ratio,fx_doctrine_base_dignity_virupa_avg,fx_doctrine_quote_dignity_virupa_avg,fx_doctrine_dominant_base_hit,fx_doctrine_dominant_quote_hit,fx_doctrine_dominant_base_dignity,fx_doctrine_dominant_quote_dignity,fx_doctrine_rule_layer_total_strength,rule_layer_ignore_hint,quote_relevant_hit_count,quote_dignity_label_counts,quote_enemy_component_count,quote_debilitation_component_count,quote_unknown_dignity_component_count,quote_benefic_component_count,quote_malefic_component_count,quote_hit_pairs,quote_dignity_pairs,base_relevant_hit_count,base_dignity_label_counts,base_enemy_component_count,base_debilitation_component_count,base_unknown_dignity_component_count,base_benefic_component_count,base_malefic_component_count,base_hit_pairs,base_dignity_pairs,source_event_id
3,MOON|SUN :: square,16,BEARISH,BEARISH=7; BULLISH=3; UNKNOWN=4,LOSS=13; WIN=13,STOP_LOSS=13; TAKE_PROFIT=13,26,10,14,2,53.043924534574465,-0.0540200330686355,0.007859093726752529,0.04999999999999999,,,,,,,,,,review_status: blank | reviewed | revisit,not_in_current_candidate_csv; high_recurrence_group; hard_aspect,shadbala_avg=55.33 | regime_active=1,,MOON|SUN,MOON,benefic,0.2,SUN,malefic,-0.1,benefic + malefic,square,Square,hard,2025-03-03 12:30:00+05:30,2025-03-03 14:30:00+05:30,m30_h1,0,0,0,0,,0,0,0,0,0,,,,,,,,,,120.0,trigger_le_1d,1.8248952357930648,1.0,0.0,0.0,0.0,Neutral,55.333333333333336,Ashwini,1,1ff34434a3f1aae9c243fb9e802f2bd0883b3ddede3ded159735aed7094148c5,nearest_line,URANUS,1,URANUS|mirror|h0.18|n1.4|d360,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,,,0,,0,0,0,0,0,,,1ff34434a3f1aae9c243fb9e802f2bd0883b3ddede3ded159735aed7094148c5
4,MERCURY|MOON :: square,16,BEARISH,BEARISH=6; BULLISH=3; CONFLICT=4,LOSS=15; WIN=10,STOP_LOSS=15; TAKE_PROFIT=10,25,12,12,1,51.93676549145299,-0.11328350522297438,0.024154168642128663,-0.007692307692307703,,,,,,,,,,manual_direction_label: bullish | bearish | sideways | mixed | unclear,not_in_current_candidate_csv; high_recurrence_group; quote_debilitation; unknown_outer_or_node_dignity; hard_aspect,shadbala_avg=55.33 | quote_dignity=debilitation=1; neutral=1; unknown=2 | regime_active=1,,MERCURY|MOON,MERCURY,benefic,0.3,MOON,benefic,0.2,benefic + benefic,square,Square,hard,2025-03-04 03:30:00+05:30,2025-03-04 05:30:00+05:30,m30_h1,0,0,0,0,,0,0,0,0,0,,,,,,,,,,120.0,trigger_le_1d,30.131615842038173,1.0,0.0,0.0,0.0,Neutral,55.333333333333336,Bharani,1,745ba54f30a1418f4e21b5db9f72ba297565d11882682297566db744a431ec45,nearest_line,SATURN,1,SATURN|direct|h0.18|n1.4|d360,,,,,,,,,,,,,,,,,,,,,,,,2,debilitation=1; neutral=1; unknown=2,0,1,2,2,2,MOON>NEPTUNE:conjunction_orb; MERCURY>URANUS:opposition_orb,MOON>NEPTUNE:natal_unknown_0V/transit_neutral_10V; MERCURY>URANUS:natal_unknown_0V/transit_debilitation_0V,0,,0,0,0,0,0,,,745ba54f30a1418f4e21b5db9f72ba297565d11882682297566db744a431ec45
5,MOON|SUN :: trine,16,BULLISH,BEARISH=4; BULLISH=5; CONFLICT=2; UNKNOWN=4,LOSS=20; WIN=10,STOP_LOSS=20; TAKE_PROFIT=10,30,15,15,0,52.73914930555556,-0.03279923052516501,0.07766886043691942,-0.03333333333333335,,,,,,,,,,manual_behavior_label: clean_followthrough | reversal | choppy | fakeout | no_trade | unclear,not_in_current_candidate_csv; high_recurrence_group; multiple_active_aspects; base_enemy_sign; soft_aspect,shadbala_avg=54.50 | base_dignity=enemy=1; own=1 | regime_active=2,,MOON|SUN,MOON,benefic,0.2,SUN,malefic,-0.1,benefic + malefic,trine,Trine,soft,2025-03-05 14:30:00+05:30,2025-03-05 16:30:00+05:30,m30_h1,0,0,0,0,,0,0,0,0,0,,,,,,,,,,120.0,trigger_le_1d,1.7216978820897566,1.0,0.0,0.0,0.0,Neutral,54.5,Krittika,2,718ac5b6155a9257f2568b11169394f2513bb5f8b4aff44144fed121ecedc036 || efec29ee3a39ceee1371cc1110c16c0f6cf6154b9a9244e7acc5c44f7d57e234,confluence,MOON|SATURN,2,SATURN|direct|h0.18|n1.4|d360,MOON|mirror|h0.18|n1.4|d360,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,,,1,enemy=1; own=1,1,0,0,1,1,SUN>VENUS:square,SUN>VENUS:natal_own_30V/transit_enemy_4V,efec29ee3a39ceee1371cc1110c16c0f6cf6154b9a9244e7acc5c44f7d57e234
6,MARS|MOON :: square,16,BEARISH,BEARISH=9; BULLISH=4; CONFLICT=1; UNKNOWN=1,LOSS=18; WIN=11,STOP_LOSS=18; TAKE_PROFIT=10; TIME_CLOSE_72H=1,29,14,15,0,51.48508986928104,-0.39666525726943175,0.20716531037196734,-0.010549230209257576,,,,,,,,,,manual_trade_action: take_long | take_short | avoid | wait | study_more,not_in_current_candidate_csv; high_recurrence_group; quote_enemy_sign; base_enemy_sign; unknown_outer_or_node_dignity; hard_aspect,shadbala_avg=54.50 | quote_dignity=enemy=2; exaltation=4; friend=1; unknown=1 | base_dignity=enemy=2; unknown=2 | regime_active=1,,MARS|MOON,MARS,malefic,-0.6,MOON,benefic,0.2,malefic + benefic,square,Square,hard,2025-03-05 18:30:00+05:30,2025-03-05 21:30:00+05:30,m30_h1,0,0,0,0,,0,0,0,0,0,,,,,,,,,,180.0,trigger_le_1d,43.10800819028945,1.0,0.0,0.0,0.0,Neutral,54.5,Krittika,1,a0d068dab36fb21b2ab6a7b69db9fa7ed05181b13b5e04ef2ad6be9c208332d2,confluence,MOON|SATURN,2,MOON|mirror|h0.18|n1.4|d360,SATURN|direct|h0.18|n1.4|d360,,,,,,,,,,,,,,,,,,,,,,,4,enemy=2; exaltation=4; friend=1; unknown=1,2,0,1,5,3,MOON>MOON:conjunction_orb; MOON>SUN:trine; MOON>URANUS:trine; MARS>VENUS:trine,MOON>MOON:natal_exaltation_60V/transit_exaltation_60V; MOON>SUN:natal_enemy_4V/transit_exaltation_60V; MOON>URANUS:natal_unknown_0V/transit_exaltation_60V; MARS>VENUS:natal_friend_15V/transit_enemy_4V,2,enemy=2; unknown=2,2,0,2,0,4,MARS>RAHU:conjunction_orb; MARS>KETU:opposition_orb,MARS>RAHU:natal_unknown_0V/transit_enemy_4V; MARS>KETU:natal_unknown_0V/transit_enemy_4V,a0d068dab36fb21b2ab6a7b69db9fa7ed05181b13b5e04ef2ad6be9c208332d2
7,JUPITER|MOON :: opposition_orb,7,BULLISH,BULLISH=5; CONFLICT=1,LOSS=2; WIN=10,STOP_LOSS=2; TAKE_PROFIT=10,12,6,6,0,52.41517857142857,0.6460388908238822,0.0,0.21666666666666665,,,,,,,,,,manual_confidence: low | medium | high,not_in_current_candidate_csv; multiple_active_aspects; hard_aspect,shadbala_avg=54.50 | regime_active=3,,JUPITER|MOON,JUPITER,benefic,1.0,MOON,benefic,0.2,benefic + benefic,opposition_orb,Opposition (ORB),hard,2025-03-06 04:30:00+05:30,2025-03-06 08:30:00+05:30,m30_h1,0,0,0,0,,0,0,0,0,0,,,,,,,,,,240.0,trigger_le_1d,167.94502643821528,1.5,0.0,0.0,0.0,Neutral,54.5,Rohini,3,3554fa598b25788c52ad7afa597eb0a7de42be4d0a204c2a3e89f8d96f634beb || 70a3caefa1fa0fcce5a3a12623d7ec7cc989e6a49ff7f7ffde59e5651d12bd89 || b1b8b71afd7036d3f6cb49f28c8ed55142909e9c370b9035273736e429302fbd,nearest_line,SATURN,1,SATURN|direct|h0.18|n1.4|d360,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,,,0,,0,0,0,0,0,,,3554fa598b25788c52ad7afa597eb0a7de42be4d0a204c2a3e89f8d96f634beb
8,MERCURY|MOON :: trine,17,BULLISH,BEARISH=2; BULLISH=8; CONFLICT=2; UNKNOWN=2,LOSS=10; WIN=16,STOP_LOSS=10; TAKE_PROFIT=16,26,13,12,1,52.565651260504204,0.19772161833400909,0.030206555989516392,0.0857142857142857,,,,,,,,,,"manual_reason_tags: semicolon tags, e.g. enemy_sign; multiple_aspects; low_shadbala",not_in_current_candidate_csv; high_recurrence_group; multiple_active_aspects; soft_aspect,shadbala_avg=54.50 | regime_active=3,,MERCURY|MOON,MERCURY,benefic,0.3,MOON,benefic,0.2,benefic + benefic,trine,Trine,soft,2025-03-06 05:30:00+05:30,2025-03-06 07:30:00+05:30,m30_h1,0,0,0,0,,0,0,0,0,0,,,,,,,,,,120.0,trigger_le_1d,62.91786702115997,1.0,0.0,0.0,0.0,Neutral,54.5,Rohini,3,3554fa598b25788c52ad7afa597eb0a7de42be4d0a204c2a3e89f8d96f634beb || 70a3caefa1fa0fcce5a3a12623d7ec7cc989e6a49ff7f7ffde59e5651d12bd89 || b1b8b71afd7036d3f6cb49f28c8ed55142909e9c370b9035273736e429302fbd,nearest_line,SATURN,1,SATURN|direct|h0.18|n1.4|d360,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,,,0,,0,0,0,0,0,,,70a3caefa1fa0fcce5a3a12623d7ec7cc989e6a49ff7f7ffde59e5651d12bd89
9,AVG(ALL)|SATURN :: square,4,BEARISH,BEARISH=1; CONFLICT=1,WIN=2,TAKE_PROFIT=2,2,0,0,2,55.0224358974359,-0.2862044644642401,0.0,0.3,,,,,,,,,,manual_notes: free-form human observation for future ML/rule mining,not_in_current_candidate_csv; strong_shadbala; quote_enemy_sign; base_enemy_sign; unknown_outer_or_node_dignity; avg_all_composite; swing_duration_1d_to_5d; hard_aspect,shadbala_avg=57.51 | quote_dignity=enemy=2; exaltation=1; friend=3 | base_dignity=enemy=2; unknown=2 | regime_active=1,,AVG(ALL)|SATURN,AVG(ALL),mixed_classical,0.0,SATURN,malefic,-0.8,mixed_classical + malefic,square,Square,hard,2025-03-06 02:30:00+05:30,2025-03-07 08:30:00+05:30,daily,0,0,0,0,,0,0,0,0,0,,,,,,,,,,1800.0,swing_1d_to_5d,1.5475716905629042,1.0,0.0,0.0,0.0,Neutral,57.513888888888886,Rohini,1,b1b8b71afd7036d3f6cb49f28c8ed55142909e9c370b9035273736e429302fbd,confluence,AVG(ALL)|SUN,2,SUN|direct|h0.18|n1.4|d360,AVG(ALL)|direct|h0.18|n1.3|d360,,,,,,,,,,,,,,,,,,,,,,,3,enemy=2; exaltation=1; friend=3,2,0,0,4,2,VENUS>JUPITER:trine; SUN>VENUS:conjunction_orb; MARS>VENUS:trine,VENUS>JUPITER:natal_friend_15V/transit_exaltation_60V; SUN>VENUS:natal_friend_15V/transit_enemy_4V; MARS>VENUS:natal_friend_15V/transit_enemy_4V,2,enemy=2; unknown=2,2,0,2,0,4,MARS>RAHU:conjunction_orb; MARS>KETU:opposition_orb,MARS>RAHU:natal_unknown_0V/transit_enemy_4V; MARS>KETU:natal_unknown_0V/transit_enemy_4V,b1b8b71afd7036d3f6cb49f28c8ed55142909e9c370b9035273736e429302fbd
10,MOON|VENUS :: square,12,BEARISH,BEARISH=8; BULLISH=1; CONFLICT=1,LOSS=12; WIN=7,STOP_LOSS=12; TAKE_PROFIT=7,19,10,9,0,53.292824074074076,-0.4149577493144404,0.13388088192412034,-1.1102230246251566e-17,,,,,,,,,,reviewed_by: your name/initials,not_in_current_candidate_csv; high_recurrence_group; multiple_active_aspects; strong_shadbala; unknown_outer_or_node_dignity; hard_aspect,shadbala_avg=58.67 | quote_dignity=exaltation=1; friend=1 | base_dignity=exaltation=1; unknown=1 | regime_active=2,,MOON|VENUS,MOON,benefic,0.2,VENUS,benefic,0.8,benefic + benefic,square,Square,hard,2025-03-06 18:30:00+05:30,2025-03-06 20:30:00+05:30,m30_h1,0,0,0,0,,0,0,0,0,0,,,,,,,,,,120.0,trigger_le_1d,1.776978075409147,1.0,0.0,0.0,0.0,Neutral,58.66666666666666,Rohini,2,b1b8b71afd7036d3f6cb49f28c8ed55142909e9c370b9035273736e429302fbd || db36af06c144951f150bef126c50f8e8388fd3e39d7285320e932beae198bf44,nearest_line,PLUTO,1,PLUTO|direct|h0.18|n1.5|d360,,,,,,,,,,,,,,,,,,,,,,,,1,exaltation=1; friend=1,0,0,0,2,0,VENUS>JUPITER:trine,VENUS>JUPITER:natal_friend_15V/transit_exaltation_60V,1,exaltation=1; unknown=1,0,0,1,1,1,VENUS>PLUTO:square,VENUS>PLUTO:natal_unknown_0V/transit_exaltation_60V,db36af06c144951f150bef126c50f8e8388fd3e39d7285320e932beae198bf44
11,AVG(ALL)|MOON :: square,18,BEARISH,BEARISH=13; BULLISH=2,LOSS=7; WIN=21,STOP_LOSS=7; TAKE_PROFIT=21,28,13,14,1,53.75149550311961,-0.6657063266355522,0.046022000183556074,0.16666666666666666,,,,,,,,,,reviewed_at_ist: YYYY-MM-DD HH:MM IST,not_in_current_candidate_csv; high_recurrence_group; quote_enemy_sign; base_enemy_sign; unknown_outer_or_node_dignity; avg_all_composite; hard_aspect,shadbala_avg=56.17 | quote_dignity=enemy=2; exaltation=1; friend=3 | base_dignity=enemy=2; exaltation=1; unknown=1 | regime_active=1,,AVG(ALL)|MOON,AVG(ALL),mixed_classical,0.0,MOON,benefic,0.2,mixed_classical + benefic,square,Square,hard,2025-03-07 11:30:00+05:30,2025-03-07 13:30:00+05:30,m30_h1,0,0,0,0,,0,0,0,0,0,,,,,,,,,,120.0,trigger_le_1d,53.00234873411114,1.0,0.0,0.0,0.0,Neutral,56.16666666666666,Mrigashira,1,b93acf2d531101f5f48cbbd0bf3651cca75b6e163e603c0798643b354767e2ce,nearest_line,PLUTO,1,PLUTO|direct|h0.18|n1.5|d360,,,,,,,,,,,,,,,,,,,,,,,,3,enemy=2; exaltation=1; friend=3,2,0,0,4,2,VENUS>JUPITER:trine; SUN>VENUS:conjunction_orb; MARS>VENUS:trine,VENUS>JUPITER:natal_friend_15V/transit_exaltation_60V; SUN>VENUS:natal_friend_15V/transit_enemy_4V; MARS>VENUS:natal_friend_15V/transit_enemy_4V,2,enemy=2; exaltation=1; unknown=1,2,0,1,2,2,VENUS>PLUTO:square; SUN>JUPITER:square,VENUS>PLUTO:natal_unknown_0V/transit_exaltation_60V; SUN>JUPITER:natal_enemy_4V/transit_enemy_4V,b93acf2d531101f5f48cbbd0bf3651cca75b6e163e603c0798643b354767e2ce
12,KETU|MOON :: opposition_orb,8,BEARISH,BEARISH=5; BULLISH=1,LOSS=5; WIN=6,STOP_LOSS=5; TAKE_PROFIT=6,11,5,6,0,52.47005208333333,-0.2517557412466795,0.1542679615437215,0.04999999999999999,,,,,,,,,,,not_in_current_candidate_csv; multiple_active_aspects; base_enemy_sign; unknown_outer_or_node_dignity; hard_aspect,shadbala_avg=56.17 | quote_dignity=neutral=1; unknown=1 | base_dignity=enemy=1; friend=3; neutral=1; unknown=1 | regime_active=2,,KETU|MOON,KETU,malefic,-0.5,MOON,benefic,0.2,malefic + benefic,opposition_orb,Opposition (ORB),hard,2025-03-07 15:30:00+05:30,2025-03-07 19:30:00+05:30,m30_h1,0,0,0,0,,0,0,0,0,0,,,,,,,,,,240.0,trigger_le_1d,88.28514392340398,1.5,0.0,0.0,0.0,Neutral,56.16666666666666,Mrigashira,2,5f93c4ad7e7f91f17ba0eddde193324695fa0b7d639b6c626874da298edba29d || f2144287c0dd23ca70822c8739c2a9d895c339a6b3f52fc0b6d4d3abc9a357e3,confluence,MARS|PLUTO,2,MARS|mirror|h0.18|n1.5|d360,PLUTO|direct|h0.18|n1.5|d360,,,,,,,,,,,,,,,,,,,,,,,1,neutral=1; unknown=1,0,0,1,0,2,KETU>MARS:opposition_orb,KETU>MARS:natal_neutral_10V/transit_unknown_0V,3,enemy=1; friend=3; neutral=1; unknown=1,1,0,1,2,4,MOON>SUN:conjunction_orb; MOON>SATURN:square; KETU>MARS:square,MOON>SUN:natal_enemy_4V/transit_friend_15V; MOON>SATURN:natal_friend_15V/transit_friend_15V; KETU>MARS:natal_neutral_10V/transit_unknown_0V,f2144287c0dd23ca70822c8739c2a9d895c339a6b3f52fc0b6d4d3abc9a357e3
