contract,sample_id,planet,measure,jhora_value_virupa,local_source_value_virupa,pyjhora_value_virupa,jhora_minus_local_virupa,jhora_minus_pyjhora_virupa,local_absolute_delta_virupa,pyjhora_absolute_delta_virupa,nearest_profile,local_pass_fail,classification,notes
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,SUN,sthana,174.200000000,186.828361564,174.210000000,-12.628361564,-0.010000000,12.628361564,0.010000000,pyjhora_secondary_profile,fail,independent_sthana_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,SUN,kaala,81.530000000,76.777587410,61.570000000,4.752412590,19.960000000,4.752412590,19.960000000,local_source_profile,fail,local_source_profile_closer_requires_subcomponent_witness,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,SUN,dig,7.900000000,4.662318144,4.660000000,3.237681856,3.240000000,3.237681856,3.240000000,local_source_profile,fail,independent_dig_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,SUN,chesta,25.830000000,47.111987272,0.000000000,-21.281987272,25.830000000,21.281987272,25.830000000,local_source_profile,fail,luminary_display_only_excluded_from_total,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,SUN,naisargika,60.000000000,60.000000000,60.000000000,0.000000000,0.000000000,0.000000000,0.000000000,tie,pass,independent_naisargika_alignment,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,SUN,drik,0.730000000,-2.950000000,-2.950000000,3.680000000,3.680000000,3.680000000,3.680000000,tie,fail,independent_drik_profile_mismatch,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,SUN,total,324.370000000,325.318267118,297.490000000,-0.948267118,26.880000000,0.948267118,26.880000000,local_source_profile,fail,corrected_total_excludes_luminary_chesta,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MOON,sthana,191.550000000,192.054005242,191.550000000,-0.504005242,0.000000000,0.504005242,0.000000000,pyjhora_secondary_profile,fail,independent_sthana_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MOON,kaala,194.750000000,199.118699723,206.810000000,-4.368699723,-12.060000000,4.368699723,12.060000000,local_source_profile,fail,local_source_profile_closer_requires_subcomponent_witness,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MOON,dig,18.320000000,21.553381995,21.550000000,-3.233381995,-3.230000000,3.233381995,3.230000000,pyjhora_secondary_profile,fail,independent_dig_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MOON,chesta,33.780000000,67.568599723,0.000000000,-33.788599723,33.780000000,33.788599723,33.780000000,pyjhora_secondary_profile,fail,luminary_display_only_excluded_from_total,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MOON,naisargika,51.430000000,51.430000000,51.430000000,0.000000000,0.000000000,0.000000000,0.000000000,tie,pass,independent_naisargika_alignment,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MOON,drik,-21.390000000,-2.290000000,-2.290000000,-19.100000000,-19.100000000,19.100000000,19.100000000,tie,fail,independent_drik_profile_mismatch,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MOON,total,434.660000000,461.866086959,469.050000000,-27.206086959,-34.390000000,27.206086959,34.390000000,local_source_profile,fail,corrected_total_excludes_luminary_chesta,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MARS,sthana,164.740000000,169.988768681,164.740000000,-5.248768681,0.000000000,5.248768681,0.000000000,pyjhora_secondary_profile,fail,independent_sthana_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MARS,kaala,136.600000000,145.479306473,111.620000000,-8.879306473,24.980000000,8.879306473,24.980000000,local_source_profile,fail,local_source_profile_closer_requires_subcomponent_witness,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MARS,dig,48.080000000,44.845187899,44.850000000,3.234812101,3.230000000,3.234812101,3.230000000,pyjhora_secondary_profile,fail,independent_dig_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MARS,chesta,45.440000000,45.404406008,74.610000000,0.035593992,-29.170000000,0.035593992,29.170000000,local_source_profile,pass,mean_longitude_profile_mixed_requires_reconciliation,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MARS,naisargika,17.140000000,17.140000000,17.140000000,0.000000000,0.000000000,0.000000000,0.000000000,tie,pass,independent_naisargika_alignment,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MARS,drik,-14.110000000,5.290000000,5.290000000,-19.400000000,-19.400000000,19.400000000,19.400000000,tie,fail,independent_drik_profile_mismatch,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MARS,total,397.890000000,428.147669061,448.550000000,-30.257669061,-50.660000000,30.257669061,50.660000000,local_source_profile,fail,corrected_local_source_total,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MERCURY,sthana,150.790000000,155.790915836,150.790000000,-5.000915836,0.000000000,5.000915836,0.000000000,pyjhora_secondary_profile,fail,independent_sthana_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MERCURY,kaala,149.040000000,150.982173247,208.950000000,-1.942173247,-59.910000000,1.942173247,59.910000000,local_source_profile,fail,local_source_profile_closer_requires_subcomponent_witness,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MERCURY,dig,16.050000000,16.052244931,16.050000000,-0.002244931,0.000000000,0.002244931,0.000000000,pyjhora_secondary_profile,pass,independent_dig_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MERCURY,chesta,35.410000000,14.073995333,84.570000000,21.336004667,-49.160000000,21.336004667,49.160000000,local_source_profile,fail,mean_longitude_profile_mixed_requires_reconciliation,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MERCURY,naisargika,25.700000000,25.710000000,25.710000000,-0.010000000,-0.010000000,0.010000000,0.010000000,tie,pass,independent_naisargika_alignment,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
