contract,sample_id,planet,measure,jhora_value_virupa,pyjhora_value_virupa,signed_delta_virupa,absolute_delta_virupa,tolerance_virupa,pass_fail,jhora_evidence_path,jhora_evidence_sha256,pyjhora_source,notes
GANN_JHORA_PYJHORA_COMPARISON_V1,case_8_event_start,SUN,sthana,174.200000000,174.210000000,-0.010000000,0.010000000,0.5,pass,status\evidence\jhora_shadbala_20260723\case_8_event_start_shadbala_breakup_locked.jpg,CC3008068069F93EDBB85C66764B379A7CCE20FF2838A877CCBE1EC4ABBA44F2,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa,Locked independent JHora GUI witness versus pinned PyJHora Tier B export; diagnostic comparison only; no tolerance widening.
GANN_JHORA_PYJHORA_COMPARISON_V1,case_8_event_start,SUN,kaala,81.530000000,61.570000000,19.960000000,19.960000000,0.5,fail,status\evidence\jhora_shadbala_20260723\case_8_event_start_shadbala_breakup_locked.jpg,CC3008068069F93EDBB85C66764B379A7CCE20FF2838A877CCBE1EC4ABBA44F2,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa,Locked independent JHora GUI witness versus pinned PyJHora Tier B export; diagnostic comparison only; no tolerance widening.
GANN_JHORA_PYJHORA_COMPARISON_V1,case_8_event_start,SUN,dig,7.900000000,4.660000000,3.240000000,3.240000000,0.5,fail,status\evidence\jhora_shadbala_20260723\case_8_event_start_shadbala_breakup_locked.jpg,CC3008068069F93EDBB85C66764B379A7CCE20FF2838A877CCBE1EC4ABBA44F2,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa,Locked independent JHora GUI witness versus pinned PyJHora Tier B export; diagnostic comparison only; no tolerance widening.
GANN_JHORA_PYJHORA_COMPARISON_V1,case_8_event_start,SUN,chesta,25.830000000,0.000000000,25.830000000,25.830000000,0.5,fail,status\evidence\jhora_shadbala_20260723\case_8_event_start_shadbala_breakup_locked.jpg,CC3008068069F93EDBB85C66764B379A7CCE20FF2838A877CCBE1EC4ABBA44F2,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa,Locked independent JHora GUI witness versus pinned PyJHora Tier B export; diagnostic comparison only; no tolerance widening.
GANN_JHORA_PYJHORA_COMPARISON_V1,case_8_event_start,SUN,naisargika,60.000000000,60.000000000,0.000000000,0.000000000,0.5,pass,status\evidence\jhora_shadbala_20260723\case_8_event_start_shadbala_breakup_locked.jpg,CC3008068069F93EDBB85C66764B379A7CCE20FF2838A877CCBE1EC4ABBA44F2,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa,Locked independent JHora GUI witness versus pinned PyJHora Tier B export; diagnostic comparison only; no tolerance widening.
GANN_JHORA_PYJHORA_COMPARISON_V1,case_8_event_start,SUN,drik,0.730000000,-2.950000000,3.680000000,3.680000000,0.5,fail,status\evidence\jhora_shadbala_20260723\case_8_event_start_shadbala_breakup_locked.jpg,CC3008068069F93EDBB85C66764B379A7CCE20FF2838A877CCBE1EC4ABBA44F2,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa,Locked independent JHora GUI witness versus pinned PyJHora Tier B export; diagnostic comparison only; no tolerance widening.
GANN_JHORA_PYJHORA_COMPARISON_V1,case_8_event_start,SUN,total,324.370000000,297.490000000,26.880000000,26.880000000,0.5,fail,status\evidence\jhora_shadbala_20260723\case_8_event_start_shadbala_summary_locked.jpg,E8F55477A3313A632FAD10A85A3C33E4D683ECB0408DB7BDD36E4DCAD710FC13,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa,Locked independent JHora GUI witness versus pinned PyJHora Tier B export; diagnostic comparison only; no tolerance widening.
GANN_JHORA_PYJHORA_COMPARISON_V1,case_8_event_start,MOON,sthana,191.550000000,191.550000000,0.000000000,0.000000000,0.5,pass,status\evidence\jhora_shadbala_20260723\case_8_event_start_shadbala_breakup_locked.jpg,CC3008068069F93EDBB85C66764B379A7CCE20FF2838A877CCBE1EC4ABBA44F2,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa,Locked independent JHora GUI witness versus pinned PyJHora Tier B export; diagnostic comparison only; no tolerance widening.
GANN_JHORA_PYJHORA_COMPARISON_V1,case_8_event_start,MOON,kaala,194.750000000,206.810000000,-12.060000000,12.060000000,0.5,fail,status\evidence\jhora_shadbala_20260723\case_8_event_start_shadbala_breakup_locked.jpg,CC3008068069F93EDBB85C66764B379A7CCE20FF2838A877CCBE1EC4ABBA44F2,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa,Locked independent JHora GUI witness versus pinned PyJHora Tier B export; diagnostic comparison only; no tolerance widening.
GANN_JHORA_PYJHORA_COMPARISON_V1,case_8_event_start,MOON,dig,18.320000000,21.550000000,-3.230000000,3.230000000,0.5,fail,status\evidence\jhora_shadbala_20260723\case_8_event_start_shadbala_breakup_locked.jpg,CC3008068069F93EDBB85C66764B379A7CCE20FF2838A877CCBE1EC4ABBA44F2,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa,Locked independent JHora GUI witness versus pinned PyJHora Tier B export; diagnostic comparison only; no tolerance widening.
GANN_JHORA_PYJHORA_COMPARISON_V1,case_8_event_start,MOON,chesta,33.780000000,0.000000000,33.780000000,33.780000000,0.5,fail,status\evidence\jhora_shadbala_20260723\case_8_event_start_shadbala_breakup_locked.jpg,CC3008068069F93EDBB85C66764B379A7CCE20FF2838A877CCBE1EC4ABBA44F2,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa,Locked independent JHora GUI witness versus pinned PyJHora Tier B export; diagnostic comparison only; no tolerance widening.
